ID Nom x y
1 Serra_de_Pandols 286885.1 4544310.3
2 Llaberia 320499.8 4551069.2
3 EMA_Raimat 287656.3 4617754.9
4 EMA_Maials 289147.1 4581309.3
5 IRTA_Mollerussa 322745.1 4609559.9
6 EMA_Camarasa 324237.2 4642681.6
6b Observatori_Astronòmic_Montsec 312138.8 4658043.7
7 EMA_Prades 331046.2 4575670.5
7b Prades_refugi_Cogullons 339301.7 4577347.1
8 EMA_Baldomar 336562.2 4642962.1
9 EMA_St_Roma_Abella 337940.5 4667095.8
10 EMA_Tremp 331955.8 4678257.2
11 Port_Ainé 353316.3 4696655.8
12 EMA_El_Canos 350439.3 4616697.4
12b EMA_Cervera 358168.6 4615154.2
13 EMA_Pinos 378594.5 4629139.4
13b Observatori_de_Pujalt 368912.4 4619594.7
14 Port_del_Comte 380876.1 4668511.5
15 Santuari_de_Foix 379986.2 4585804.8
16 Castellnou_Bages 403247.9 4633228.2
17 Garraf_Puig_de_la_Mola 403565.7 4574842.4
18 Tosa_dAlp 408768.3 4686029
19 EMA_Perafita 427188 4654479.5
20 PN_Sant_Llorenç 415928.9 4613156.3
21 Muntanyola 431580.7 4634240.9
22 Santuari_Bellmunt 441673.8 4661323.4
23 Montseny_Turo_de_Lhome 453029.9 4625114.4
24 PN_Montnegre_Turo_Bell_lloc 453809.3 4607837.9
25 EMA_Vall_den_Bas 454797.7 4665978.9
26 Ma_Deu_del_Mont 475915.6 4678496
27 Palafolls 477925.5 4614158.7
28 EMA_Navata 488646.7 4675092.5
29 Sant_Cebria_dels_Alls 501183 4637264.2
30 IRTA_Mas_Badia 505301.9 4655793.1
31 Sant_Pere_Pescador 507995 4669451
32 EMA_Tornabous 337279.5 4617021.8
33 Mont_Roig 326337 4543105
34 Ciurana 327200.2 4569573.9
35 MaDeu_dels_Munts 429951.3 4658858.2
36 EMA_Vilobi_Onyar 478645 4636755.1
37 La_Llacuna 377708 4592846
37b EMA_St_Marti_Riucorb 340609.6 4604062.6
I216 Torre_Vigilància_Puig_Castellar 376071.8 4589602.5
I516 Torre_Guaita_Puig_den_Cama 340239 4564959.1
I301 Massís_de_Cadiretes 494035.4 4622821.3
38 Picnic_Creu_de_Codo_Guixers 380086 4665665.4
39 EMA_Port_del_Comte 378792 4672013
40 Refugi_de_LArp 378067.5 4674440.9
41 Estació_Guils_Fontanera 405004.5 4701322.4
42 Refugi_de_Cap_De_Rec 390469.1 4698516.5
43 Camping_el_Cortal_del_Gral 391090.4 4696632.2
44 Refugi_de_La_Basseta 359064.7 4697571.9
45 Turó_de_Miralles 474306.7 4613426.6
46 Sant_Jordi_Maçanet_de_la_Selva 476816.2 4624299.6
47 Puigsou_Rocacorba 474041 4657843.6
48 Vallter_Les_Marmotes 437867.5 4697373.6
49 Vallter_Puig_dels_Lladres 439062.7 4697013.1
50 Castell_de_Voltregà 434288.2 4651211.3
51 Maials_lo_Tossal 291463.1 4582661
52 Garraf_Rascler 408551.2 4571344.1
53 Garraf_Sísmica 409043.2 4571824.1
54 Sta_Llucia_Sobremunt 432711.7 4653517.5
55 Turó_de_Valldaura 427551.5 4588496.8
56 Turó_Galceran 438756.8 4594991
57 Plans_St_Joan_Vimbodí_Poblet 339931.8 4579056.9
58 Torre_de_Llagostera 492612.5 4630305.8
59 Montagut 368127.8 4585126.5
60 Puig_de_la_Cova 372362.3 4574860.1
61 Arbolí_1 329000.0 4565767.9
62 Arbolí_2_Mirador 329156.9 4565908.0
63 Arbolí_Parapente 329414.0 4566138.3
64 Tossal_de_Carissols_Odèn 366688.4 4662637.26
65 Torres_de_Segre 295831.0 4599275.0
66 Oden_TV 366688.4 4662637.8
67 IRTA_Amposta 299964.7 4509034.6
68 Montseny_Puigdesolles 453334.0 4624773.3
69 Sant_Jaume 415853.4 4613215.9
70 La_Mata 415938.2 4613118.1
71 IRTA_Amposta 299964.9 4509034.2
72 Illa_de_Buda 317065.0 4508507.0
73 Mon_Natura 309095.9 4501733.0
74 Àger_Parapente 313478 4657362
75 Santuari_del_Corredor 456697 4608401
76 El_Corredor_TV 456670 4608286
77 Casa_de_Fusta 303473.7 4503385.1
78 Observatori_Ebre 288628.6 4521815.5
79 Els_Ports 273745.8 4519689.0
80 Valentins 277653.1 4500624.8
81 Vinebre 298196.5 4562029.9
82 Gandesa 284062.9 4549233.0
83 EMA_Benissanet 301325.4 4548447.0
