ID Nom x y Alt_ETRS
1 Serra_de_Pandols 286885.1 4544310.3 702.66
2 Llaberia 320499.8 4551069.2 900.66
3 EMA_Raimat 287656.3 4617754.9 286.44
4 EMA_Maials 289147.1 4581309.3 348.97
5 IRTA_Mollerussa 322745.1 4609559.9 245.55
6 EMA_Camarasa 324237.2 4642681.6 672.72
6b Observatori_Astronòmic_Montsec 312138.8 4658043.7 1565.15
7 EMA_Prades 331046.2 4575670.5 926.49
7b Prades_refugi_Cogullons 339301.7 4577347.1 1030.01
8 EMA_Baldomar 336562.2 4642962.1 366.02
9 EMA_St_Roma_Abella 337940.5 4667095.8 689.6
10 EMA_Tremp 331955.8 4678257.2 517.04
11 Port_Ainé 353316.3 4696655.8 2355.52
12 EMA_El_Canos 350439.3 4616697.4 425.53
12b EMA_Cervera 358168.6 4615154.2 555.4
13 EMA_Pinos 378594.5 4629139.4 659.91
13b Observatori_de_Pujalt 368912.4 4619594.7 747.56
14 Port_del_Comte 380876.1 4668511.5 2142.94
15 Santuari_de_Foix 379986.2 4585804.8 640.45
16 Castellnou_Bages 403247.9 4633228.2 611.32
17 Garraf_Puig_de_la_Mola 403565.7 4574842.4 533.33
18 Tosa_dAlp 408768.3 4686029 2534.17
19 EMA_Perafita 427188 4654479.5 765.6
20 PN_Sant_Llorenç 415928.9 4613156.3 912.74
21 Muntanyola 431580.7 4634240.9 1005.98
22 Santuari_Bellmunt 441673.8 4661323.4 1232.08
23 Montseny_Turo_de_Lhome 453029.9 4625114.4 1705.74
24 PN_Montnegre_Turo_Bell_lloc 453809.3 4607837.9 474.79
25 EMA_Vall_den_Bas 454797.7 4665978.9 461.97
26 Ma_Deu_del_Mont 475915.6 4678496 1111.39
27 Palafolls 477925.5 4614158.7 150.07
28 EMA_Navata 488646.7 4675092.5 151.98
29 Sant_Cebria_dels_Alls 501183 4637264.2 400.36
30 IRTA_Mas_Badia 505301.9 4655793.1 12.47
31 Sant_Pere_Pescador 507995 4669451 3.7
32 EMA_Tornabous 337279.5 4617021.8 290.91
33 Mont_Roig 326337 4543105 42.83
34 Ciurana 327200.2 4569573.9 760.03
35 MaDeu_dels_Munts 429951.3 4658858.2 1057.1
36 EMA_Vilobi_Onyar 478645 4636755.1 115.64
37 La_Llacuna 377708 4592846 583.85
37b EMA_St_Marti_Riucorb 340609.6 4604062.6 413.29
I216 Torre_Vigilància_Puig_Castellar 376071.8 4589602.5 941.93
I516 Torre_Guaita_Puig_den_Cama 340239 4564959.1 715.63
I301 Massís_de_Cadiretes 494035.4 4622821.3 514.24
38 Picnic_Creu_de_Codo_Guixers 380086 4665665.4 1475.47
39 EMA_Port_del_Comte 378792 4672013 2289.06
40 Refugi_de_LArp 378067.5 4674440.9 1936.52
41 Estació_Guils-Fontanera 405004.5 4701322.4 1903.56
42 Refugi_de_Cap_De_Rec 390469.1 4698516.5 1956.23
43 Camping_el_Cortal_del_Gral 391090.4 4696632.2 1726.42
44 Refugi_de_La_Basseta 359064.7 4697571.9 1720.23
45 Turó_de_Miralles 474306.7 4613426.6 341.02
46 Sant_Jordi_Maçanet_de_la_Selva 476816.2 4624299.6 174.44
47 Puigsou_Rocacorba 474041 4657843.6 987.12
48 Vallter_Les_Marmotes 437867.5 4697373.6 2498.58
49 Vallter_Puig_dels_Lladres 439062.7 4697013.1 2371.81
50 Castell_de_Voltregà 434288.2 4651211.3 857.04
51 Maials_lo_Tossal 291463.1 4582661 394.14
52 Garraf_Rascler 408551.2 4571344.1 573.33
53 Garraf_Sísmica 409043.2 4571824.1 581.37
54 Sta_Llucia_Sobremunt 432711.7 4653517.5 956.71
55 Turó_de_Valldaura 427551.5 4588496.8 415.54
56 Turó_Galceran 438756.8 4594991 478.23
57 Plans_St_Joan_Vimbodí_Poblet 339931.8 4579056.9 1078.76
58 Torre_de_Llagostera 492612.5 4630305.8 150.53
59 Montagut 368127.8 4585126.5 960.33
60 Puig_de_la_Cova 372362.3 4574860.1 671.85
66 Oden_TV 366688.4 4662637.8 1159.9
67 IRTA_Amposta 299964.7 4509034.6 3.49
68 Montseny_Puigdesolles 453334 4624773.3 1666.11
61 Arbolí_1 329000 4565767.9 813.41
62 Arbolí_2_Mirador 329156.9 4565908 810.81
63 Arbolí_Parapente 329414 4566138.3 815.98
64 Tossal_de_Carissols_Odèn 366688.4 4662637.26 1157.64
65 Torres_de_Segre 295831 4599275 215.24
69 Sant_Jaume 415853.4 4613215.9 928.97
70 La_Mata 415938.2 4613118.1 905.42
71 IRTA_Amposta 299964.9 4509034.2 3.49
72 Illa_de_Buda 317065 4508507 0.71
73 Mon_Natura 309095.9 4501733 0.41
74 Àger_Parapente 313478 4657362 1566.41
75 Santuari_del_Corredor 456697 4608401 633.79
76 El_Corredor_TV 456670 4608286 639.19
77 Casa_de_Fusta 303473.7 4503385.1 0.44
78 Observatori_Ebre 288628.6 4521815.5 45.97
79 Els_Ports 273745.8 4519689 1055.34
80 Valentins 277653.1 4500624.8 210.13
81 Vinebre 298196.5 4562029.9 49.44
82 Gandesa 284062.9 4549233 350.67
83 EMA_Benissanet 301325.4 4548447 33.79
